title,series,author,genres,pages,publishDate,publishYear,rating,likedPercent,price
The Middle Length Discourses of the Buddha: A Translation of the Majjhima Nikaya,standalone,Bhikkhu Bodhi,"['Buddhism', 'Religion', 'Philosophy', 'Spirituality', 'Nonfiction', 'Eastern Philosophy', 'Classics', 'Scripture', 'Cultural', 'Unfinished']",1424,November 9th 1995,1995,4.53,97.0,30.30
Rapture in Death & Ceremony in Death,In Death,J.D. Robb,"['Romance', 'Mystery', 'Crime', 'Science Fiction', 'Fiction', 'Thriller']",624,May 6th 2010,2010,4.53,98.0,6.83
"The Complete ElfQuest, Volume One",The Complete ElfQuest,Wendy Pini,"['Fantasy', 'Graphic Novels', 'Comics', 'Fiction', 'Graphic Novels Comics', 'Adventure', 'Comic Book', 'Epic Fantasy', 'Romance', 'Adult Fiction']",720,August 19th 2014,2014,4.53,98.0,13.70
A Storm of Swords,A Song of Ice and Fire,George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adult', 'Adventure', 'Dragons', 'Audiobook', 'Epic']",1177,03/04/03,2003,4.53,99.0,3.57
"Later Short Stories, 1888-1903",standalone,Anton Chekhov,"['Short Stories', 'Classics', 'Fiction', 'Russia', 'Russian Literature']",656,1999,1999,4.53,97.0,42.63
"Monster: Perfect Edition, Vol. 1",Naoki Urasawa's Monster: Kanzenban,Naoki Urasawa,"['Manga', 'Comics', 'Graphic Novels', 'Horror', 'Mystery', 'Thriller', 'Fiction', 'Seinen', 'Monsters', 'Crime']",422,July 15th 2014,2014,4.53,99.0,5.36
"New and Selected Poems, Volume One",standalone,Mary Oliver,"['Poetry', 'Nature', 'Fiction', 'LGBT', 'Spirituality', 'Literature', 'Classics', 'Womens', 'American', 'Adult']",272,November 1st 2004,2004,4.53,98.0,8.08
Material World: A Global Family Portrait,standalone,Peter Menzel,"['Nonfiction', 'Photography', 'Geography', 'Travel', 'Art', 'Cultural', 'Anthropology', 'History', 'Sociology', 'Economics']",256,October 11th 1994,1994,4.53,99.0,13.00
"Anita Blake, Vampire Hunter Collection 1-4 (Anita Blake, Vampire Hunter, #1-4)",standalone,Laurell K. Hamilton,"['Paranormal', 'Vampires', 'Fantasy', 'Horror', 'Supernatural', 'Romance', 'Fiction', 'Science Fiction Fantasy', 'Paranormal Romance', 'Crime']",1256,February 25th 2003,2003,4.53,97.0,130.75
The Abhorsen Trilogy Box Set,Abhorsen,Garth Nix,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Science Fiction Fantasy', 'Childrens', 'Young Adult Fantasy', 'High Fantasy', 'Teen', 'Science Fiction']",850,September 27th 2005,2005,4.53,98.0,16.77
Skallagrigg,standalone,William Horwood,"['Fiction', 'Fantasy', 'Disability', 'Young Adult', 'Adult Fiction', 'Science Fiction', 'British Literature', 'Contemporary', 'Historical Fiction']",728,1988,1988,4.53,97.0,8.18
George S. Kaufman and His Friends,standalone,Scott Meredith,['Biography'],723,January 1st 1974,1974,4.53,100.0,7.53
Godsgrave,The Nevernight Chronicle,Jay Kristoff,"['Fantasy', 'Adult', 'Young Adult', 'New Adult', 'Fiction', 'LGBT', 'High Fantasy', 'Audiobook', 'Magic', 'Romance']",419,September 5th 2017,2017,4.53,98.0,17.51
"The Morganville Vampires, #1-3",The Morganville Vampires,Rachel Caine,"['Vampires', 'Young Adult', 'Paranormal', 'Fantasy', 'Anthologies', 'Urban Fantasy']",992,October 1st 2010,2010,4.52,98.0,1.95
A Storm of Swords: Blood and Gold,A Song of Ice and Fire (1-in-2),George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Adventure', 'Dragons', 'Science Fiction Fantasy', 'Epic', 'War']",639,September 1st 2011,2011,4.52,98.0,1.79
A Pale Horse,Chronicles of Brothers,Wendy Alec,"['Christian', 'Christian Fiction', 'Fantasy', 'Fiction', 'Religion', 'Mythology', 'Spirituality', 'Supernatural']",550,November 1st 2012,2012,4.52,97.0,3.12
Coffey's Hands,The Green Mile,Stephen King,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Mystery', 'Crime', 'Suspense', 'Supernatural', 'Drama', 'Paranormal']",90,May 1996,1996,4.52,99.0,3.69
Ever Increasing Faith,standalone,Smith Wigglesworth,"['Christian', 'Nonfiction', 'Faith', 'Christian Living', 'Spirituality']",224,June 1st 2001,2001,4.52,97.0,2.05
The Hate U Give,The Hate U Give,Angie Thomas,"['Young Adult', 'Fiction', 'Contemporary', 'Audiobook', 'Realistic Fiction', 'Race', 'Social Justice', 'Teen', 'Young Adult Contemporary', 'African American']",444,02/28/17,2017,4.52,98.0,7.63
Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,standalone,Charles T. Munger,"['Business', 'Finance', 'Nonfiction', 'Biography', 'Economics', 'Philosophy', 'Psychology', 'Self Help', 'Money', 'Personal Development']",512,January 1st 2006,2006,4.52,96.0,103.62
Psychotherapy,standalone,Marie-Louise von Franz,"['Psychology', 'Psychoanalysis']",352,May 1st 2001,2001,4.52,97.0,24.07
How to Avoid Huge Ships,standalone,John W. Trimmer,"['Nonfiction', 'Humor']",112,January 1st 1993,1993,4.52,94.0,106.64
"Finders, Keepers",standalone,Sapan Saxena,"['Thriller', 'Mythology']",624,January 12th 2015,2015,4.52,98.0,25.48
"The Complete Adventures of Feluda, Vol. 1",Feluda,Satyajit Ray,"['Mystery', 'Fiction', 'Detective', 'Short Stories', 'India', 'Thriller', 'Crime', 'Classics', 'Adventure', 'Indian Literature']",788,2000,2000,4.52,98.0,12.23
The Night the Angels Came,standalone,Cathy Glass,"['Nonfiction', 'Memoir', 'Abuse', 'Biography', 'Fostering', 'Biography Memoir', 'Autobiography', 'True Story', 'Family', 'True Crime']",312,September 15th 2011,2011,4.52,97.0,0.84
Yellowfang's Secret,Warriors Super Edition,Erin Hunter,"['Fantasy', 'Animals', 'Middle Grade', 'Fiction', 'Cats', 'Young Adult', 'Childrens', 'Adventure', 'Animal Fiction', 'Romance']",528,October 9th 2012,2012,4.52,98.0,7.76
Poems and Prose of Mihai Eminescu,standalone,Mihai Eminescu,"['Poetry', 'Romanian Literature', 'Classics', 'School']",240,May 1st 2000,2000,4.52,98.0,79.11
"Attack on Titan: No Regrets, Vol. 1",進撃の巨人 悔いなき選択 / Attack on Titan: No Regrets,Hajime Isayama,"['Manga', 'Graphic Novels', 'Fantasy', 'Comics', 'Horror', 'Dystopia', 'Young Adult', 'Fiction', 'Science Fiction', 'Comics Manga']",192,June 24th 2014,2014,4.52,97.0,9.34
"Nausicaä of the Valley of the Wind, Vol. 2",Nausicaä of the Valley of the Wind,Hayao Miyazaki,"['Manga', 'Graphic Novels', 'Comics', 'Fantasy', 'Science Fiction', 'Fiction', 'Graphic Novels Comics', 'Adventure', 'Japan', 'Comic Book']",130,March 31st 2004,2004,4.52,99.0,8.49
"Good Girl, Bad Blood",A Good Girl's Guide to Murder,Holly Jackson,"['Mystery', 'Young Adult', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Crime', 'Fiction', 'Young Adult Contemporary', 'Romance', 'Murder Mystery']",417,April 30th 2020,2020,4.52,99.0,3.18
"The Complete Novels of Jane Austen, Vol 1: Sense & Sensibility/Pride & Prejudice/Mansfield Park",standalone,Jane Austen,"['Classics', 'Literature', 'Fiction', 'Romance', 'Own']",898,September 5th 1992,1992,4.52,96.0,9.65
Wundersmith: The Calling of Morrigan Crow,Nevermoor,Jessica Townsend,"['Fantasy', 'Middle Grade', 'Childrens', 'Fiction', 'Audiobook', 'Young Adult', 'Magic', 'Adventure', 'Mystery', 'Young Adult Fantasy']",467,October 30th 2018,2018,4.52,99.0,9.84
Catching Fire: The Official Illustrated Movie Companion,standalone,Kate Egan,"['Nonfiction', 'Dystopia', 'Film', 'Action', 'Romance', 'Media Tie In', 'Post Apocalyptic', 'Pop Culture', 'Fandom']",160,November 22nd 2013,2013,4.52,97.0,2.20
Sherlock Holmes and the Case of the Hound of the Baskervilles,standalone,Malvina G. Vogel,"['Mystery', 'Classics', 'Fiction', 'Crime', 'Detective', 'Thriller', 'Adventure', 'Chapter Books', 'Suspense', 'Childrens']",233,1977,1977,4.52,99.0,5.20
"Yotsuba&!, Vol. 03",Yotsuba&!,Kiyohiko Azuma,"['Manga', 'Comics', 'Graphic Novels', 'Fiction', 'Humor', 'Slice Of Life', 'Japanese Literature', 'Comedy', 'Young Adult', 'Japan']",192,October 11th 2005,2005,4.52,99.0,4.90
Five Complete Hercule Poirot Novels: ABC Murders / Cards on the Table / Death on the Nile / Murder on the Orient Express / Thirteen at Dinner,standalone,Agatha Christie,"['Mystery', 'Fiction', 'Classics', 'Crime', 'Suspense', 'Anthologies', 'Novels', 'Mystery Thriller', 'Detective', 'Adult']",663,August 19th 1987,1987,4.52,98.0,5.40
The Art of Howl's Moving Castle,Studio Ghibli: The Art of....,Hayao Miyazaki,"['Art', 'Nonfiction', 'Manga', 'Film', 'Reference', 'Japan', 'Design', 'Anime', 'Asia', 'Steampunk']",256,July 5th 2005,2005,4.52,97.0,19.69
"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions",standalone,Chimamanda Ngozi Adichie,"['Nonfiction', 'Feminism', 'Essays', 'Audiobook', 'Womens', 'Parenting', 'Adult', 'Africa', 'Social Justice', 'Gender']",63,March 7th 2017,2017,4.52,98.0,12.02
Life's That Way,standalone,Jim Beaver,"['Nonfiction', 'Memoir', 'Biography', 'Autobiography', 'Biography Memoir', 'Supernatural', 'Adult', 'Death', 'Love']",303,April 16th 2009,2009,4.52,98.0,5.20
The Lord of the Rings: The Making of the Movie Trilogy,standalone,Brian Sibley,"['Nonfiction', 'Film', 'Media Tie In', 'Art', 'Reference', 'Science Fiction Fantasy', 'Classics', 'Pop Culture']",192,November 6th 2002,2002,4.52,96.0,7.25
Secret Vampire / Daughters of Darkness,Night World,L.J. Smith,"['Vampires', 'Young Adult', 'Fantasy', 'Urban Fantasy']",480,February 11th 1998,1998,4.52,98.0,4.83
Disney's The Little Mermaid: Classic Storybook,standalone,Sheryl Kahn,"['Childrens', 'Fiction', 'Picture Books', 'Fantasy', 'Media Tie In', 'Humor', 'Animals']",95,June 1st 1997,1997,4.52,97.0,3.81
Endless,The Violet Eden Chapters,Jessica Shirvington,"['Angels', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Supernatural', 'Urban Fantasy', 'Demons', 'Magic']",446,August 28th 2012,2012,4.52,98.0,19.02
The Complete Yes Minister,standalone,Jonathan Lynn,"['Fiction', 'Humor', 'Politics', 'Comedy', 'British Literature', 'Tv', 'Contemporary', 'Literature', 'Classics', '20th Century']",528,June 1988,1988,4.52,98.0,3.12
Medicine Cards: The Discovery of Power Through the Ways of Animals,standalone,Jamie Sams,"['Spirituality', 'Tarot', 'Reference', 'Nonfiction', 'Animals', 'Self Help', 'Divination', 'Religion', 'Occult', 'Mysticism']",224,May 1st 1992,1992,4.52,97.0,5.15
Obsidio,The Illuminae Files,Amie Kaufman,"['Science Fiction', 'Young Adult', 'Romance', 'Fiction', 'Audiobook', 'Fantasy', 'Space', 'Dystopia', 'Adventure', 'Young Adult Science Fiction']",624,March 13th 2018,2018,4.52,99.0,8.99
Avatar The Last Airbender: The Art of the Animated Series,Avatar: The Last Airbender Books,Michael Dante DiMartino,"['Art', 'Fantasy', 'Manga', 'Graphic Novels', 'Comics', 'Fiction', 'Reference', 'Media Tie In', 'Comic Book', 'Middle Grade']",184,October 20th 2010,2010,4.52,96.0,29.96
Sidney & Norman: A Tale of Two Pigs,standalone,Phil Vischer,"['Picture Books', 'Christian', 'Childrens', 'Religion', 'Theology', 'Fiction', 'Faith', 'Animals']",48,September 1st 2006,2006,4.52,97.0,5.20
Remembrance of Things Past: Volume II - The Guermantes Way & Cities of the Plain,Remembrance of Things Past,Marcel Proust,"['Fiction', 'Classics', 'Literature', 'France', 'Novels', 'French Literature', 'Philosophy', 'Literary Fiction', '20th Century', 'Anthologies']",1216,August 27th 1982,1982,4.52,97.0,10.01
True Devotion to Mary,standalone,Louis de Montfort,"['Catholic', 'Religion', 'Spirituality', 'Nonfiction', 'Christian', 'Faith', 'Theology', 'Christianity', 'Prayer', 'Classics']",215,December 31st 1999,1999,4.52,97.0,5.22
"Kaguya-sama: Love Is War, Vol. 9", かぐや様は告らせたい ～天才たちの恋愛頭脳戦～ / Kaguya-sama: Love is War,Aka Akasaka,"['Manga', 'Romance', 'Humor', 'Comedy', 'Young Adult', 'Fiction', 'Comics Manga', 'Comics', 'Seinen', 'School']",240,July 2nd 2019,2019,4.52,99.0,7.28
The Hunger Games: Official Illustrated Movie Companion,The Hunger Games Companions,Kate Egan,"['Nonfiction', 'Dystopia', 'Media Tie In', 'Film', 'Adventure', 'Romance', 'Teen', 'Love', 'Fandom', 'Guides']",160,February 7th 2012,2012,4.52,97.0,2.2
Efrén Divided,standalone,Ernesto Cisneros,"['Middle Grade', 'Realistic Fiction', 'Contemporary', 'Fiction', 'Family', 'Young Adult', 'Childrens', 'Social Justice', 'Audiobook', 'Juvenile']",272,March 31st 2020,2020,4.52,99.0,14.55
You Are Mine,Wemmicksville,Max Lucado,"['Picture Books', 'Childrens', 'Christian', 'Religion', 'Fiction', 'Fantasy', 'Christian Fiction', 'Inspirational', 'Christianity', 'Young Adult']",31,July 18th 2001,2001,4.52,98.0,7.13
A Grimm Warning,The Land of Stories,Chris Colfer,"['Fantasy', 'Middle Grade', 'Fairy Tales', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Magic', 'Audiobook', 'Retellings']",448,July 8th 2014,2014,4.52,98.0,3.7
Walt Disney's Uncle Scrooge: Only a Poor Old Man,The Complete Carl Barks Disney Library,Carl Barks,"['Comics', 'Graphic Novels', 'Humor', 'Fiction', 'Comic Book', 'Adventure', 'Childrens', 'Americana', 'Sequential Art', 'Comedy']",240,July 17th 2012,2012,4.52,98.0,19.98
"The Complete Peanuts, Vol. 2: 1953-1954",The Complete Peanuts,Charles M. Schulz,"['Comics', 'Humor', 'Graphic Novels', 'Comic Strips', 'Fiction', 'Comic Book', 'Graphic Novels Comics', 'Classics', 'Childrens', 'Sequential Art']",325,October 17th 2004,2004,4.52,99.0,6.11
"Synecdoche, New York: The Shooting Script",standalone,Charlie Kaufman,"['Fiction', 'Film', 'American']",161,November 4th 2008,2008,4.52,96.0,57.49
Miles in Love,Vorkosigan Saga (Publication Order),Lois McMaster Bujold,"['Science Fiction', 'Romance', 'Space Opera', 'Fiction', 'Science Fiction Fantasy', 'Mystery', 'Space', 'Fantasy', 'Novels', 'Military Fiction']",880,February 5th 2008,2008,4.52,99.0,14.76
The New American Bible,standalone,Anonymous,"['Religion', 'Reference', 'Catholic', 'Nonfiction', 'Classics', 'Christianity', 'Faith', 'Theology', 'Spirituality', 'History']",1394,May 27th 2011,2011,4.52,94.0,3.81
"Saga, Vol. 3",Saga (Collected Editions),Brian K. Vaughan,"['Graphic Novels', 'Comics', 'Fantasy', 'Science Fiction', 'Fiction', 'Graphic Novels Comics', 'Adult', 'Comic Book', 'Romance', 'Adventure']",144,March 25th 2014,2014,4.52,99.0,6.60
The Unleashing of Ren Crown,Ren Crown,Anne Zoelle,"['Fantasy', 'Magic', 'Young Adult', 'Science Fiction Fantasy', 'Romance']",382,August 5th 2016,2016,4.52,99.0,7.18
Sculpting in Time,standalone,Andrei Tarkovsky,"['Film', 'Nonfiction', 'Art', 'Philosophy', 'Russia', 'Biography', 'Media Tie In', 'Essays', '20th Century', 'Memoir']",254,April 1st 1989,1989,4.52,98.0,23.88
The Mage,Foxcraft,Inbali Iserles,"['Fantasy', 'Animals', 'Middle Grade', 'Adventure', 'Childrens', 'School', 'Young Adult', 'Fiction', 'Wolves', 'Magic']",320,September 26th 2017,2017,4.52,97.0,6.97
"Fullmetal Alchemist, Vol. 2",Fullmetal Alchemist,Hiromu Arakawa,"['Manga', 'Fantasy', 'Comics', 'Graphic Novels', 'Fiction', 'Science Fiction', 'Young Adult', 'Steampunk', 'Adventure', 'Action']",192,July 5th 2005,2005,4.52,99.0,3.11
Vertical Poetry: Recent Poems,standalone,Roberto Juarroz,"['Poetry', 'Spanish Literature', 'Latin American Literature']",117,January 1st 1995,1995,4.52,98.0,14.01
Crown of Souls,Tox Files,Ronie Kendig,"['Christian Fiction', 'Suspense', 'Fiction', 'Military Fiction', 'Christian', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Adventure', 'Mystery']",473,September 5th 2017,2017,4.52,98.0,7.13
"Berserk, Vol. 34",ベルセルク / Berserk,Kentaro Miura,"['Manga', 'Fantasy', 'Comics', 'Horror', 'Graphic Novels', 'Comics Manga', 'Action', 'Dark Fantasy', 'Seinen', 'Fiction']",240,September 21st 2010,2010,4.52,97.0,12.65
"The Walking Dead, Compendium 2",The Walking Dead Compendium Edition,Robert Kirkman,"['Graphic Novels', 'Comics', 'Horror', 'Zombies', 'Fiction', 'Post Apocalyptic', 'Graphic Novels Comics', 'Fantasy', 'Dystopia', 'Comic Book']",1068,October 16th 2012,2012,4.52,99.0,8.98
Zen Pencils: Cartoon Quotes from Inspirational Folks,Zen Pencils,Gavin Aung Than,"['Comics', 'Graphic Novels', 'Nonfiction', 'Philosophy', 'Inspirational', 'Graphic Novels Comics', 'Self Help', 'Art', 'Adult', 'Poetry']",176,November 11th 2014,2014,4.52,99.0,4.55
The Wake,The Sandman,Neil Gaiman,"['Graphic Novels', 'Comics', 'Fantasy', 'Fiction', 'Graphic Novels Comics', 'Horror', 'Comic Book', 'Mythology', 'Urban Fantasy', 'Science Fiction Fantasy']",191,September 3rd 1999,1999,4.52,98.0,12.80
Shahnameh: The Persian Book of Kings,دوره چهار جلدی شاهنامه استاد خالقی مطلق,Abolqasem Ferdowsi,"['Poetry', 'Classics', 'History', 'Iran', 'Mythology', 'Literature', 'Epic', 'Medieval', 'Historical', 'Nonfiction']",886,2006,2006,4.52,97.0,30.81
Theology and Sanity,standalone,Frank Sheed,"['Theology', 'Catholic', 'Religion', 'Christianity', 'Philosophy', 'Nonfiction', 'Faith', 'Christian', 'Spirituality', 'Psychology']",471,September 1st 1993,1993,4.52,97.0,8.20
Pegasus and the Origins of Olympus,Pegasus,Kate O'Hearn,"['Fantasy', 'Mythology', 'Middle Grade', 'Young Adult', 'Adventure', 'Fiction', 'Greek Mythology', 'Childrens', 'Magic', 'Horses']",376,2012,2012,4.52,97.0,3.12
The Dermis Probe,standalone,Idries Shah,['Islam'],191,December 1st 1989,1989,4.52,95.0,1.64
"Akira, Vol. 6",Akira: 6 Volumes,Katsuhiro Otomo,"['Manga', 'Comics', 'Graphic Novels', 'Science Fiction', 'Fiction', 'Cyberpunk', 'Japan', 'Japanese Literature', 'Post Apocalyptic', 'Graphic Novels Comics']",434,March 27th 2002,2002,4.51,98.0,18.71
Working with the Law: 11 Truth Principles for Successful Living,standalone,Raymond Holliwell,"['Spirituality', 'Metaphysics', 'Philosophy', 'Personal Development', 'Nonfiction']",184,January 20th 2005,2005,4.51,97.0,11.69
"Love, Acceptance & Forgiveness",standalone,Jerry Cook,"['Christian Living', 'Leadership', 'Church']",128,June 1st 1979,1979,4.51,98.0,2.92
The Last Olympian,Percy Jackson and the Olympians,Rick Riordan,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Greek Mythology', 'Urban Fantasy', 'Magic']",381,05/05/09,2009,4.51,98.0,7.44
The Original Illustrated Sherlock Holmes,Sherlock Holmes,Arthur Conan Doyle,"['Mystery', 'Classics', 'Fiction', 'Short Stories', 'Literature', 'Crime', 'Detective', 'Classic Literature', 'Mystery Thriller', '19th Century']",636,September 1st 2001,2001,4.51,99.0,3.59
Poems of Fernando Pessoa,standalone,Fernando Pessoa,"['Poetry', 'Portugal', 'Portuguese Literature', 'Classics', 'Literature', 'Fiction', 'Romance', 'Unfinished', 'Spanish Literature', 'Latin American']",240,January 1st 2001,2001,4.51,98.0,6.71
The Book Whisperer: Awakening the Inner Reader in Every Child,standalone,Donalyn Miller,"['Education', 'Nonfiction', 'Teaching', 'Adult', 'Parenting', 'Books About Books', 'School', 'Teachers', 'College', 'Audiobook']",227,March 1st 2009,2009,4.51,98.0,5.74
"Westminster Confession Of Faith w/ Catechisms (1646-7) (and the Larger and Shorter Catechisms, Directories for Public and Private Worship, Form of Presbyterial Church Government, the Sum of Saving Knowledge)",standalone,Westminster Assembly,"['Theology', 'Christian', 'Reference', 'Nonfiction', 'Christianity', 'Church History', 'Religion', 'School', 'History', 'Classics']",438,November 1983,1983,4.51,96.0,13.72
The Last Archer,Green Ember Archer,S.D. Smith,"['Fantasy', 'Fiction', 'Childrens', 'Audiobook', 'Animals', 'Adventure', 'Middle Grade', 'War', 'Science Fiction Fantasy', 'Animal Fiction']",131,December 28th 2017,2017,4.51,99.0,62.28
Syrian Folktales,standalone,Muna Imady,['Mythology'],126,January 6th 2012,2012,4.51,98.0,15.72
Hope for Each Day: Words of Wisdom and Faith,standalone,Billy Graham,"['Christian', 'Religion', 'Nonfiction', 'Christian Non Fiction', 'Inspirational', 'Spirituality']",400,September 3rd 2006,2006,4.51,97.0,3.88
Pride & Prejudice: Music from the Motion Picture Soundtrack,standalone,Dario Marianelli,"['Music', 'Nonfiction', 'Classics']",40,March 1st 2006,2006,4.51,97.0,13.24
The Things We Cannot Say,standalone,Kelly Rimmer,"['Historical Fiction', 'Fiction', 'World War II', 'Historical', 'Audiobook', 'War', 'Adult', 'Romance', 'Holocaust', 'Adult Fiction']",448,October 17th 2019,2019,4.51,98.0,32.68
The Planetary Omnibus,Planetary,Warren Ellis,"['Comics', 'Graphic Novels', 'Fiction', 'Science Fiction', 'Dc Comics', 'Comic Book', 'Fantasy', 'Graphic Novels Comics', 'Superheroes', 'Mystery']",864,January 28th 2014,2014,4.51,98.0,41.82
Our Lady of Guadalupe: And the Conquest of Darkness,standalone,Warren H. Carroll,"['History', 'Catholic', 'Religion', 'Theology', 'Christianity', 'Nonfiction']",119,October 1st 2004,2004,4.51,97.0,12.58
Survival in the Killing Fields,standalone,Haing Ngor,"['History', 'Nonfiction', 'Biography', 'War', 'Asia', 'Memoir', 'Autobiography', 'Historical', 'Survival', 'Asian Literature']",515,December 26th 2003,2003,4.51,98.0,8.85
God Speaks,standalone,Meher Baba,"['Spirituality', 'Philosophy', 'Religion', 'Nonfiction']",348,August 1st 1997,1997,4.51,94.0,21.19
Masters of the Shadowlands,Masters of the Shadowlands,Cherise Sinclair,"['BDSM', 'Erotica', 'Romance', 'Erotic Romance', 'Contemporary', 'Adult', 'Fantasy', 'M F Romance', 'Fiction', 'Contemporary Romance']",350,June 23rd 2009,2009,4.51,98.0,3.47
This Spectred Isle: A Journey through Haunted England,standalone,Simon Marsden,"['Photography', 'Reference', 'Nonfiction', 'Gothic', 'British Literature', 'Paranormal']",175,December 1st 2005,2005,4.51,100.0,6.50
The Hitchhiker's Guide to the Galaxy: A Trilogy in Four Parts,The Hitchhiker's Guide to the Galaxy,Douglas Adams,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Classics', 'Science Fiction Fantasy', 'Adventure', 'British Literature', 'Novels']",590,1992,1992,4.51,97.0,2.76
Battle Ground,The Dresden Files,Jim Butcher,"['Fantasy', 'Urban Fantasy', 'Fiction', 'Paranormal', 'Magic', 'Audiobook', 'Vampires', 'Mystery', 'Fae', 'Supernatural']",418,September 29th 2020,2020,4.51,98.0,23.26
"Spencer W. Kimball, Twelfth President of the Church of Jesus Christ of Latter-Day Saints",standalone,Edward L. Kimball,"['Biography', 'Lds', 'Religion', 'Nonfiction', 'Church', 'Biography Memoir', 'Spirituality', 'History', 'Lds Non Fiction', 'Autobiography']",438,January 1st 1977,1977,4.51,98.0,3.28
White Lines,White Lines,Tracy Brown,"['Urban', 'Fiction', 'Romance', 'African American', 'Drama', 'Crime', 'Audiobook', 'Adult', 'Young Adult', 'African American Literature']",497,January 9th 2007,2007,4.51,97.0,6.63
"Saga, Vol. 7",Saga (Collected Editions),Brian K. Vaughan,"['Graphic Novels', 'Comics', 'Fantasy', 'Science Fiction', 'Fiction', 'Graphic Novels Comics', 'Adult', 'Comic Book', 'Romance', 'Adventure']",152,April 4th 2017,2017,4.51,99.0,8.50
The Measure of a Man,standalone,Martin Luther King Jr.,"['Nonfiction', 'Philosophy', 'Religion', 'History', 'Theology', 'Christianity', 'Politics', 'African American', 'Self Help', 'Sociology']",56,October 1st 2001,2001,4.51,98.0,9.41
Even Now / Ever After,Lost Love,Karen Kingsbury,"['Christian Fiction', 'Christian', 'Romance', 'Fiction', 'Drama', 'Faith', 'Chick Lit']",694,October 31st 2007,2007,4.51,98.0,5.20
"ChocoMimi, Volume 2",ChocoMimi,Konami Sonoda,"['Manga', 'Graphic Novels', 'Realistic Fiction', 'Humor']",200,October 6th 2009,2009,4.51,98.0,8.09
Back Blast,Gray Man,Mark Greaney,"['Thriller', 'Fiction', 'Action', 'Espionage', 'Suspense', 'Mystery Thriller', 'Spy Thriller', 'Audiobook', 'Mystery', 'Military Fiction']",513,February 16th 2016,2016,4.51,99.0,9.77
Meditations on the Tarot: A Journey into Christian Hermeticism,standalone,Valentin Tomberg,"['Tarot', 'Spirituality', 'Religion', 'Philosophy', 'Nonfiction', 'Occult', 'Christianity', 'Esoterica', 'Magic', 'Theology']",688,June 10th 2002,2002,4.51,95.0,20.16
The Lost Heir,Wings of Fire,Tui T. Sutherland,"['Fantasy', 'Dragons', 'Middle Grade', 'Fiction', 'Adventure', 'Young Adult', 'Childrens', 'Audiobook', 'Animals', 'Science Fiction Fantasy']",296,January 1st 2013,2013,4.51,98.0,4.34
Standing at the Scratch Line,Tremain Family Saga,Guy Johnson,"['Historical Fiction', 'Fiction', 'African American', '20th Century', 'African American Literature', 'Family', 'War', 'Cultural', 'American', 'Southern']",576,January 9th 2001,2001,4.51,95.0,17.00
Collected Works: Wise Blood / A Good Man is Hard to Find / The Violent Bear it Away / Everything that Rises Must Converge / Essays and Letters,standalone,Flannery O'Connor,"['Fiction', 'Short Stories', 'Classics', 'Literature', 'Essays', 'Southern Gothic', 'Southern', 'Anthologies', 'Gothic', 'American']",1281,1988,1988,4.51,97.0,13.01
To Draw Closer To God: A Collection Of Discourses,standalone,Henry B. Eyring,"['Religion', 'Lds', 'Church', 'Nonfiction', 'Spirituality', 'Inspirational', 'Christian', 'Lds Non Fiction', 'Self Help', 'Adult']",199,2004,2004,4.51,97.0,3.29
"Pandora Hearts, Volume 9",Pandora Hearts,Jun Mochizuki,"['Manga', 'Fantasy', 'Mystery', 'Graphic Novels', 'Comics', 'Shonen', 'Adventure', 'Comics Manga', 'Supernatural', 'Young Adult']",178,2009,2009,4.51,98.0,13.72
"This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life",standalone,David Foster Wallace,"['Nonfiction', 'Philosophy', 'Essays', 'Psychology', 'Self Help', 'Short Stories', 'American', 'Spirituality', 'Education', 'Audiobook']",138,April 14th 2009,2009,4.51,98.0,6.57
Sarah Dessen Gift Set,standalone,Sarah Dessen,"['Young Adult', 'Contemporary', 'Romance', 'Realistic Fiction']",1136,September 17th 2009,2009,4.51,96.0,9.49
Emanate,White Road Chronicles,Jackie Castle,"['Christian Fiction', 'Fantasy']",389,June 11th 2014,2014,4.51,98.0,19.56
Enlightenment: The Only Revolution: Discourses on the Great Mystic Ashtavakra,standalone,Osho,['Spirituality'],405,January 28th 1997,1997,4.51,96.0,109.52
Kingdom of the Wicked,Skulduggery Pleasant,Derek Landy,"['Fantasy', 'Young Adult', 'Urban Fantasy', 'Magic', 'Fiction', 'Adventure', 'Mystery', 'Paranormal', 'Action', 'Childrens']",607,August 30th 2012,2012,4.51,98.0,2.25
