title,series,author,genres,pages,publishDate,publishYear,rating,likedPercent,price
Clockwork Princess,The Infernal Devices,Cassandra Clare,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Urban Fantasy', 'Angels', 'Fiction', 'Historical']",567,09/05/13,2013,4.57,97.0,4.0
Out of the Silence,standalone,Owen Mullen,['Thriller'],284,January 28th 2019,2019,4.57,98.0,5.03
Magic Triumphs,Kate Daniels,Ilona Andrews,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Magic', 'Romance', 'Vampires', 'Shapeshifters', 'Paranormal Romance', 'Adult', 'Fiction']",327,August 28th 2018,2018,4.57,99.0,6.64
Exploring English,standalone,Augustine Martin,"['Short Stories', 'Fiction']",376,August 26th 2011,2011,4.57,100.0,7.83
The Nightingale,standalone,Kristin Hannah,"['Historical Fiction', 'Fiction', 'Historical', 'World War II', 'War', 'Audiobook', 'Adult', 'France', 'Adult Fiction', 'Romance']",440,02/03/15,2015,4.57,98.0,4.7
Treasures of the Night,standalone,Bruce Lee Bond,['Historical Fiction'],382,November 5th 2015,2015,4.57,100.0,21.08
Acheron,Dark-Hunter,Sherrilyn Kenyon,"['Paranormal Romance', 'Paranormal', 'Romance', 'Fantasy', 'Vampires', 'Urban Fantasy', 'Mythology', 'Adult', 'Fiction', 'Demons']",728,08/05/08,2008,4.57,97.0,4.97
"The Complete Adventures of Feluda, Vol. 2",Feluda,Satyajit Ray,"['Mystery', 'Fiction', 'Detective', 'India', 'Thriller', 'Short Stories', 'Crime', 'Classics', 'Adventure', 'Young Adult']",757,February 2nd 2005,2005,4.57,99.0,16.56
La Bella Mafia,The Cartel,Ashley Antoinette,"['Urban', 'African American', 'Fiction', 'Drama', 'Crime', 'Suspense']",288,January 30th 2015,2015,4.57,97.0,5.70
Run To Earth,Power of Four,S.F. Mazhar,"['Fantasy', 'Young Adult']",456,February 10th 2014,2014,4.57,98.0,23.22
Skin Game,The Dresden Files,Jim Butcher,"['Fantasy', 'Urban Fantasy', 'Fiction', 'Paranormal', 'Mystery', 'Magic', 'Audiobook', 'Supernatural', 'Science Fiction Fantasy', 'Fae']",454,May 27th 2014,2014,4.57,99.0,10.68
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,The Mortal Instruments,Cassandra Clare,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Vampires', 'Angels', 'Supernatural', 'Paranormal Romance', 'Fiction']",1520,10/27/09,2009,4.56,97.0,53.49
Angelica And Francesca,standalone,Kenneth Jarrett Singleton,"['Fiction', 'Plays', 'Contemporary', 'Historical Fiction', 'Drama', 'Suspense', 'Thriller', 'Horror', 'Theatre', 'Tragedy']",52,December 2nd 2005,2005,4.56,99.0,7.27
Doctor Who: The Writer's Tale - The Final Chapter,standalone,Russell T. Davies,"['Nonfiction', 'Doctor Who', 'Writing', 'Tv', 'Fandom', 'Biography', 'Theatre', 'Autobiography']",736,January 14th 2010,2010,4.56,99.0,7.92
"Fullmetal Alchemist, Vol. 4",Fullmetal Alchemist,Hiromu Arakawa,"['Manga', 'Fantasy', 'Comics', 'Graphic Novels', 'Fiction', 'Steampunk', 'Science Fiction', 'Young Adult', 'Shonen', 'Adventure']",192,November 8th 2005,2005,4.56,99.0,4.65
In A Cold Sweat,Mike Black,Roy Glenn,['Urban'],288,April 1st 2008,2008,4.56,99.0,6.02
"Fullmetal Alchemist, Vol. 3",Fullmetal Alchemist,Hiromu Arakawa,"['Manga', 'Fantasy', 'Comics', 'Graphic Novels', 'Fiction', 'Science Fiction', 'Steampunk', 'Young Adult', 'Adventure', 'Shonen']",192,September 13th 2005,2005,4.56,99.0,3.88
The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatrist's Notebook,standalone,Bruce D. Perry,"['Psychology', 'Nonfiction', 'Mental Health', 'Science', 'Social Work', 'Parenting', 'Education', 'Counselling', 'Mental Illness', 'Medical']",288,January 8th 2007,2007,4.56,99.0,14.51
Vampire Academy Box Set,Vampire Academy,Richelle Mead,"['Young Adult', 'Vampires', 'Fantasy', 'Romance', 'Paranormal', 'Supernatural', 'Paranormal Romance', 'Young Adult Fantasy', 'Fiction', 'Urban Fantasy']",1680,October 14th 2010,2010,4.56,96.0,26.41
The Magic Monastery: Analogical and Action Philosophy of the Middle East and Central Asia,standalone,Idries Shah,"['Spirituality', 'Religion', 'Islam']",208,March 1st 1992,1992,4.56,99.0,6.31
All These Things Shall Give Thee Experience,standalone,Neal A. Maxwell,"['Religion', 'Lds', 'Nonfiction', 'Church', 'Inspirational', 'Spirituality', 'Lds Non Fiction', 'Faith', 'Mormonism', 'Christian']",176,March 20th 2007,2007,4.56,98.0,5.39
Phenomenal Woman: Four Poems Celebrating Women,standalone,Maya Angelou,"['Poetry', 'Feminism', 'Classics', 'Nonfiction', 'African American', 'Womens', 'African American Literature', 'Inspirational', 'Poetry Plays', 'Adult']",22,January 17th 1995,1995,4.56,98.0,6.78
"In Search of Lost Time, Vol. 2: Within a Budding Grove, Part 2 & The Guermantes' Way",À la recherche du temps perdu,Marcel Proust,"['Classics', 'Fiction', 'Literature', 'France']",888,June 29th 2001,2001,4.56,97.0,5.91
